timesteps,episode_reward,episode_length
112902,-27.744802,135.0
113003,-19.53052,101.0
113079,-18.357686,76.0
113121,-12.33338,42.0
113163,-12.283138,42.0
113203,-11.139622,40.0
113243,-9.684897,40.0
113284,-11.569433,41.0
113331,-11.626537,47.0
113367,-7.616163,36.0
113412,-13.31327,45.0
113448,-7.224159,36.0
113508,-17.624012,60.0
113559,-9.539775,51.0
113600,-11.187026,41.0
113640,-12.548811,40.0
113676,-10.258733,36.0
113731,-11.459231,55.0
113771,-11.880554,40.0
113815,-12.27036,44.0
113937,-19.586016,122.0
113994,-17.182314,57.0
114032,-7.253538,38.0
114069,-7.993817,37.0
114107,-11.365715,38.0
114148,-12.414758,41.0
114189,-13.714737,41.0
114321,-27.798871,132.0
114361,-13.101467,40.0
114410,-14.794146,49.0
114454,-12.447466,44.0
114493,-11.325471,39.0
114592,-19.448749,99.0
114634,-13.010894,42.0
114678,-11.180475,44.0
114788,-24.356683,110.0
114825,-8.364775,37.0
114864,-9.064091,39.0
114935,-18.551566,71.0
114975,-9.473195,40.0
115021,-14.21023,46.0
115059,-8.198431,38.0
115114,-14.344018,55.0
115155,-8.316616,41.0
115194,-9.477747,39.0
115240,-12.896269,46.0
115318,-12.543238,78.0
115356,-8.819062,38.0
115399,-12.779725,43.0
115445,-11.186285,46.0
115486,-11.525907,41.0
115527,-13.656432,41.0
115572,-9.917112,45.0
115642,-11.421442,70.0
115684,-9.596785,42.0
115797,-27.314795,113.0
115997,-42.266123,200.0
116037,-11.613712,40.0
116082,-14.587802,45.0
116122,-10.553178,40.0
116213,-17.112717,91.0
116252,-8.064794,39.0
116292,-12.700297,40.0
116334,-14.463169,42.0
116376,-13.207736,42.0
116464,-19.003094,88.0
116511,-11.028848,47.0
116552,-11.192494,41.0
116605,-11.955824,53.0
116646,-13.017395,41.0
116688,-12.152855,42.0
116729,-14.055924,41.0
116836,-25.372848,107.0
116876,-7.289461,40.0
116965,-16.303976,89.0
117004,-10.998549,39.0
117106,-23.852302,102.0
117147,-11.707978,41.0
117185,-8.178048,38.0
117221,-8.185832,36.0
117259,-9.007734,38.0
117297,-8.942848,38.0
117336,-9.11381,39.0
117386,-12.925148,50.0
117430,-13.145805,44.0
117630,-50.800016,200.0
117680,-9.2921,50.0
117724,-13.291328,44.0
117761,-10.74054,37.0
117802,-9.428592,41.0
117844,-12.939319,42.0
117882,-10.798607,38.0
117922,-11.465941,40.0
117961,-8.82156,39.0
117997,-8.216155,36.0
118036,-7.864145,39.0
118074,-9.829645,38.0
118114,-11.628083,40.0
118220,-23.643078,106.0
118263,-10.612502,43.0
118300,-8.10539,37.0
118432,-27.269679,132.0
118471,-6.811873,39.0
118559,-15.818789,88.0
118601,-11.341451,42.0
118641,-12.34468,40.0
118688,-11.639237,47.0
118728,-9.236964,40.0
118767,-7.06892,39.0
118811,-12.812032,44.0
118904,-22.433384,93.0
118948,-9.550133,44.0
118992,-9.912753,44.0
119030,-9.264368,38.0
119067,-10.23576,37.0
119106,-10.071476,39.0
119206,-19.406341,100.0
119252,-9.965773,46.0
119293,-10.740156,41.0
119333,-9.399264,40.0
119379,-14.943485,46.0
119418,-8.940554,39.0
119475,-15.436406,57.0
119517,-12.597278,42.0
119556,-7.254219,39.0
119608,-14.123763,52.0
119646,-10.637026,38.0
119690,-14.094781,44.0
119729,-11.819144,39.0
119929,-49.415636,200.0
119980,-13.512797,51.0
120094,-28.93489,114.0
120132,-10.861541,38.0
120170,-9.672247,38.0
120233,-15.831483,63.0
120277,-13.636799,44.0
120318,-8.806625,41.0
120398,-21.173015,80.0
120434,-7.604422,36.0
120477,-10.150362,43.0
120525,-12.330112,48.0
120565,-11.631763,40.0
120604,-10.317703,39.0
120649,-13.55064,45.0
120693,-12.494655,44.0
120732,-9.032549,39.0
120773,-11.071729,41.0
120811,-10.915155,38.0
120856,-10.536888,45.0
120895,-8.314391,39.0
120933,-9.222905,38.0
120973,-10.315666,40.0
121010,-9.547553,37.0
121049,-10.323291,39.0
121098,-11.566199,49.0
121253,-31.962009,155.0
121293,-7.526002,40.0
121352,-11.6864,59.0
121398,-8.684952,46.0
121436,-9.911805,38.0
121484,-13.271684,48.0
121523,-9.659091,39.0
121723,-47.768676,200.0
121761,-9.393114,38.0
121804,-8.958261,43.0
121845,-11.476428,41.0
121883,-6.791607,38.0
121991,-25.208858,108.0
122027,-8.646519,36.0
122066,-11.742847,39.0
122101,-5.722797,35.0
122139,-8.57312,38.0
122176,-8.054197,37.0
122220,-10.89975,44.0
122261,-7.119744,41.0
122298,-9.525432,37.0
122345,-10.613255,47.0
122385,-9.654243,40.0
122425,-12.009223,40.0
122466,-9.070042,41.0
122507,-10.290681,41.0
122544,-9.790462,37.0
122583,-11.970511,39.0
122625,-7.808237,42.0
122667,-8.776855,42.0
122797,-29.193784,130.0
122837,-7.445085,40.0
122875,-11.014593,38.0
122912,-7.295397,37.0
122957,-11.209466,45.0
122998,-13.404964,41.0
123043,-11.639576,45.0
123212,-36.297909,169.0
123252,-9.525378,40.0
